CustomerID,Recency,Frequency,Monetary,Cluster,Segment
12346,1071,1,77183.6,3,Inactive
12347,17,7,4310.0,0,Low Value
12348,7,4,1797.24,0,Low Value
12349,33,1,1757.55,0,Low Value
12350,325,1,334.40000000000003,0,Low Value
12352,51,8,2506.04,0,Low Value
12353,218,1,89.0,0,Low Value
12354,247,1,1079.4,0,Low Value
12355,229,1,459.40000000000003,0,Low Value
12356,260,3,2811.43,0,Low Value
12357,47,1,6207.67,0,Low Value
12358,16,2,1168.06,0,Low Value
12359,72,4,6372.58,0,Low Value
12360,67,3,2662.06,0,Low Value
12361,668,1,189.9,3,Inactive
12362,18,10,5226.2300000000005,0,Low Value
12363,124,2,552.0,0,Low Value
12364,22,4,1313.1,0,Low Value
12365,306,2,641.38,0,Low Value
12367,18,1,168.9,0,Low Value
12370,7,4,3545.69,0,Low Value
12371,59,2,1887.96,0,Low Value
12372,86,3,1298.04,0,Low Value
12373,326,1,364.6,0,Low Value
12374,40,1,742.9300000000001,0,Low Value
12375,25,2,457.5,0,Low Value
12377,4,2,1628.1200000000001,0,Low Value
12378,144,1,4008.62,0,Low Value
12379,96,2,852.24,0,Low Value
12380,36,4,2724.81,0,Low Value
12381,19,5,1845.31,0,Low Value
12383,2,5,1850.56,0,Low Value
12384,43,2,585.27,0,Low Value
12386,16,2,401.9,0,Low Value
12388,30,6,2780.6600000000003,0,Low Value
12390,94,1,549.84,0,Low Value
12391,36,1,460.89,0,Low Value
12393,87,4,1582.6000000000001,0,Low Value
12394,232,2,1272.48,0,Low Value
12395,7,12,3018.63,0,Low Value
12397,50,2,2409.9,0,Low Value
12398,60,1,1635.6599999999999,0,Low Value
12399,134,4,1108.65,0,Low Value
12401,318,1,84.3,0,Low Value
12402,338,1,225.60000000000002,0,Low Value
12403,64,1,427.7,0,Low Value
12405,163,1,1710.39,0,Low Value
12406,36,2,3415.3,0,Low Value
12407,64,5,1708.12,0,Low Value
12408,47,5,2888.55,0,Low Value
12409,93,3,11072.67,0,Low Value
12410,323,2,693.33,0,Low Value
12412,89,3,1226.88,0,Low Value
12413,81,3,758.1,0,Low Value
12414,232,3,562.4100000000001,0,Low Value
12415,39,21,124914.53,1,High Value
12417,7,9,3649.1,0,Low Value
12418,127,1,668.58,0,Low Value
12420,78,1,600.39,0,Low Value
12421,129,4,807.04,0,Low Value
12422,339,3,803.5600000000001,0,Low Value
12423,3,8,1859.31,0,Low Value
12424,177,2,1760.96,0,Low Value
12425,92,1,777.2,0,Low Value
12426,209,1,582.73,0,Low Value
12427,21,3,825.8000000000001,0,Low Value
12428,40,9,7956.46,0,Low Value
12429,15,4,3750.4,0,Low Value
12430,58,1,256.4,0,Low Value
12431,23,15,6487.45,2,Mid Value
12432,57,5,5059.32,0,Low Value
12433,15,7,13375.87,0,Low Value
12434,99,2,806.14,0,Low Value
12435,94,2,7829.89,0,Low Value
12436,114,1,509.01,0,Low Value
12437,16,18,4951.41,2,Mid Value
12438,29,2,2906.85,0,Low Value
12441,16,1,173.55,0,Low Value
12442,18,1,172.06,0,Low Value
12444,36,5,5005.46,0,Low Value
12445,767,1,133.4,3,Inactive
12446,72,1,1002.3100000000001,0,Low Value
12447,258,1,476.49,0,Low Value
12448,59,1,449.45,0,Low Value
12449,37,4,4067.29,0,Low Value
12450,171,2,197.88,0,Low Value
12451,25,5,9035.52,0,Low Value
12452,31,2,430.57000000000005,0,Low Value
12453,149,1,707.09,0,Low Value
12454,70,1,3528.34,0,Low Value
12455,88,6,2466.86,0,Low Value
12456,59,3,3181.04,0,Low Value
12457,101,7,2363.23,0,Low Value
12458,86,2,947.4,0,Low Value
12461,169,2,826.88,0,Low Value
12462,33,2,1189.59,0,Low Value
12463,68,4,1344.78,0,Low Value
12464,37,8,1212.05,0,Low Value
12465,31,2,742.19,0,Low Value
12468,202,2,729.54,0,Low Value
12471,7,30,19824.05,2,Mid Value
12472,19,7,6572.11,0,Low Value
12473,44,5,3938.55,0,Low Value
12474,32,18,7375.79,2,Mid Value
12475,68,1,723.38,0,Low Value
12476,30,11,6816.42,0,Low Value
12477,37,6,13219.74,0,Low Value
12478,18,1,680.99,0,Low Value
12479,26,1,527.2,0,Low Value
12480,43,4,3281.63,0,Low Value
12481,4,10,5596.32,0,Low Value
12483,31,8,2484.98,0,Low Value
12484,47,6,4541.72,0,Low Value
12488,24,3,1298.66,0,Low Value
12489,351,1,334.93,0,Low Value
12490,19,10,5417.93,0,Low Value
12491,53,1,460.40000000000003,0,Low Value
12492,78,2,263.21000000000004,0,Low Value
12493,180,2,433.74,0,Low Value
12494,30,7,1246.1,0,Low Value
12497,96,1,1043.1,0,Low Value
12498,36,3,403.70000000000005,0,Low Value
12500,37,11,4257.82,0,Low Value
12501,351,1,2169.39,0,Low Value
12502,110,5,3723.87,0,Low Value
12504,33,2,482.04999999999995,0,Low Value
12506,247,1,73.5,0,Low Value
12507,148,3,1304.81,0,Low Value
12508,41,2,398.27,0,Low Value
12509,299,1,176.5,0,Low Value
12510,157,2,982.5699999999999,0,Low Value
12512,81,2,138.03,0,Low Value
12513,127,1,612.29,0,Low Value
12514,281,1,1017.6800000000001,0,Low Value
12515,3,1,383.7,0,Low Value
12516,92,2,1312.06,0,Low Value
12517,43,5,2502.84,0,Low Value
12518,15,5,2056.89,0,Low Value
12519,78,1,340.84000000000003,0,Low Value
12520,94,5,2634.26,0,Low Value
12521,157,1,599.68,0,Low Value
12522,54,2,192.72,0,Low Value
12523,58,11,1789.77,0,Low Value
12524,78,8,4485.72,0,Low Value
12526,15,3,1316.66,0,Low Value
12527,340,3,348.71000000000004,0,Low Value
12528,24,6,1933.48,0,Low Value
12530,74,4,1662.28,0,Low Value
12531,29,1,125.22,0,Low Value
12532,45,1,349.83000000000004,0,Low Value
12534,145,1,1089.18,0,Low Value
12535,106,2,716.35,0,Low Value
12536,74,3,12601.830000000002,0,Low Value
12538,43,1,363.95,0,Low Value
12539,37,4,5568.35,0,Low Value
12540,11,17,13400.24,2,Mid Value
12541,44,3,981.18,0,Low Value
12544,50,1,372.7,0,Low Value
12545,90,2,1000.39,0,Low Value
12546,61,2,1161.5,0,Low Value
12547,295,2,207.8,0,Low Value
12548,546,1,95.19999999999999,3,Inactive
12550,94,1,964.83,0,Low Value
12551,7,1,168.0,0,Low Value
12552,53,2,437.82,0,Low Value
12553,22,10,3692.28,0,Low Value
12556,65,2,603.71,0,Low Value
12557,21,5,11990.960000000001,0,Low Value
12558,22,1,269.96,0,Low Value
12559,334,2,561.71,0,Low Value
12560,20,3,2134.01,0,Low Value
12561,317,1,238.85,0,Low Value
12562,22,7,3781.7400000000002,0,Low Value
12564,276,1,456.90000000000003,0,Low Value
12565,303,1,145.92000000000002,0,Low Value
12566,101,1,351.65,0,Low Value
12567,17,10,9401.28,0,Low Value
12569,16,32,4124.6900000000005,2,Mid Value
12571,54,2,519.61,0,Low Value
12572,23,2,1020.4200000000001,0,Low Value
12573,242,1,160.54000000000002,0,Low Value
12574,330,1,218.45000000000002,0,Low Value
12576,50,5,1315.83,0,Low Value
12577,8,3,657.8,0,Low Value
12578,36,2,2794.51,0,Low Value
12579,92,1,440.42,0,Low Value
12580,261,1,415.7,0,Low Value
12581,54,1,197.71,0,Low Value
12582,253,2,511.36,0,Low Value
12583,17,15,7281.38,2,Mid Value
12584,18,9,2338.15,0,Low Value
12585,1,2,2040.1,0,Low Value
12586,31,1,196.94000000000003,0,Low Value
12587,387,1,144.0,0,Low Value
12588,54,1,214.89999999999998,0,Low Value
12589,43,2,646.68,0,Low Value
12590,226,2,9864.26,0,Low Value
12591,332,1,452.84999999999997,0,Low Value
12592,107,2,437.6,0,Low Value
12593,144,3,418.1,0,Low Value
12594,61,10,3338.2200000000003,0,Low Value
12596,66,2,618.27,0,Low Value
12597,34,4,3811.22,0,Low Value
12598,24,8,3023.08,0,Low Value
12599,44,7,1032.58,0,Low Value
12600,7,10,2599.04,0,Low Value
12601,219,5,577.0600000000001,0,Low Value
12602,73,1,153.12,0,Low Value
12603,767,1,739.1999999999999,3,Inactive
12604,94,2,254.18,0,Low Value
12607,75,1,1579.51,0,Low Value
12609,92,3,1126.85,0,Low Value
12610,37,5,2099.54,0,Low Value
12611,67,1,1193.32,0,Low Value
12612,89,1,704.04,0,Low Value
12613,72,5,3344.38,0,Low Value
12614,292,1,315.6,0,Low Value
12615,51,4,2291.19,0,Low Value
12616,110,2,713.3,0,Low Value
12617,44,1,355.53000000000003,0,Low Value
12618,36,1,177.31,0,Low Value
12619,31,9,3641.24,0,Low Value
12620,29,3,1339.41,0,Low Value
12621,7,20,13689.67,2,Mid Value
12622,246,1,180.1,0,Low Value
12623,291,1,305.1,0,Low Value
12624,121,2,641.13,0,Low Value
12625,226,2,2683.82,0,Low Value
12626,38,9,6620.4800000000005,0,Low Value
12627,25,7,4478.53,0,Low Value
12628,19,3,786.46,0,Low Value
12630,24,2,1270.88,0,Low Value
12631,72,1,640.5,0,Low Value
12633,73,4,2163.98,0,Low Value
12635,104,2,1689.18,0,Low Value
12637,82,8,6021.9,0,Low Value
12638,48,1,671.69,0,Low Value
12639,253,1,486.1,0,Low Value
12640,38,3,1174.58,0,Low Value
12641,495,1,185.9,3,Inactive
12642,40,3,1013.26,0,Low Value
12643,143,6,3344.64,0,Low Value
12644,144,1,477.90999999999997,0,Low Value
12645,48,4,1775.18,0,Low Value
12646,19,2,1346.97,0,Low Value
12647,7,12,3722.82,0,Low Value
12648,169,1,318.05,0,Low Value
12649,122,3,623.51,0,Low Value
12650,17,1,314.44,0,Low Value
12651,349,1,114.0,0,Low Value
12652,346,1,919.98,0,Low Value
12653,163,2,2209.85,0,Low Value
12654,25,5,601.98,0,Low Value
12656,32,5,4051.17,0,Low Value
12657,26,4,1643.18,0,Low Value
12658,33,1,686.05,0,Low Value
12659,44,1,91.68,0,Low Value
12660,26,1,245.10000000000002,0,Low Value
12662,15,11,3849.78,0,Low Value
12664,22,9,4881.88,0,Low Value
12665,339,1,63.0,0,Low Value
12667,72,1,620.13,0,Low Value
12668,5,4,3807.15,0,Low Value
12669,165,3,2744.0299999999997,0,Low Value
12670,25,5,2996.05,0,Low Value
12672,344,1,225.9,0,Low Value
12673,20,2,610.52,0,Low Value
12674,53,4,1970.6,0,Low Value
12676,39,6,1331.39,0,Low Value
12678,57,12,17628.46,2,Mid Value
12679,220,4,1113.02,0,Low Value
12680,15,4,862.81,0,Low Value
12681,4,22,13787.54,2,Mid Value
12682,15,31,12288.22,2,Mid Value
12683,15,15,8476.57,2,Mid Value
12684,39,7,2283.63,0,Low Value
12685,43,6,2863.08,0,Low Value
12686,752,1,89.14,3,Inactive
12688,128,1,4873.81,0,Low Value
12689,40,2,1247.6100000000001,0,Low Value
12690,220,1,389.01,0,Low Value
12691,7,6,1035.8,0,Low Value
12693,226,4,855.91,0,Low Value
12694,85,2,869.67,0,Low Value
12695,22,4,582.1,0,Low Value
12697,43,3,957.59,0,Low Value
12700,22,4,4939.99,0,Low Value
12701,94,2,797.71,0,Low Value
12702,34,1,219.0,0,Low Value
12703,85,1,283.55,0,Low Value
12704,22,8,2340.84,0,Low Value
12705,7,9,6868.29,0,Low Value
12707,306,1,603.42,0,Low Value
12708,18,10,2712.91,0,Low Value
12709,16,15,9736.52,2,Mid Value
12710,111,3,1149.02,0,Low Value
12712,15,13,4396.13,2,Mid Value
12713,15,1,848.55,0,Low Value
12714,24,5,4708.86,0,Low Value
12715,121,1,353.86,0,Low Value
12716,18,2,1053.49,0,Low Value
12717,166,2,1030.98,0,Low Value
12718,85,1,238.25,0,Low Value
12719,20,2,644.95,0,Low Value
12720,7,25,5781.7300000000005,2,Mid Value
12721,4,6,2656.13,0,Low Value
12722,100,4,997.63,0,Low Value
12723,18,5,725.07,0,Low Value
12724,20,4,1031.41,0,Low Value
12725,21,1,427.8,0,Low Value
12726,43,7,2609.1,0,Low Value
12727,25,7,3980.7000000000003,0,Low Value
12728,86,4,836.33,0,Low Value
12729,128,1,453.01,0,Low Value
12731,14,12,18895.91,2,Mid Value
12732,194,1,236.26000000000002,0,Low Value
12733,248,1,383.95,0,Low Value
12734,367,1,110.39999999999999,0,Low Value
12735,330,2,779.5699999999999,0,Low Value
12736,347,1,234.0,0,Low Value
12738,21,1,155.35,0,Low Value
12739,93,2,1013.04,0,Low Value
12740,78,1,427.6,0,Low Value
12743,148,2,546.43,0,Low Value
12744,66,7,21279.29,2,Mid Value
12747,11,11,4196.01,0,Low Value
12748,1,209,33719.73,1,High Value
12749,18,5,4090.88,0,Low Value
12750,143,1,275.88,0,Low Value
12752,96,1,4366.78,0,Low Value
12753,12,6,21429.39,2,Mid Value
12754,250,3,3010.74,0,Low Value
12755,295,2,3811.9500000000003,0,Low Value
12756,101,1,112.08,0,Low Value
12757,30,13,7857.1,2,Mid Value
12758,131,2,2791.59,0,Low Value
12759,67,3,1531.44,0,Low Value
12762,22,2,1898.52,0,Low Value
12763,19,2,494.08,0,Low Value
12764,331,1,1693.88,0,Low Value
12766,16,7,6989.63,0,Low Value
12769,253,1,1143.6,0,Low Value
12770,225,1,1351.45,0,Low Value
12772,74,1,892.47,0,Low Value
12775,31,5,1386.04,0,Low Value
12778,78,6,822.23,0,Low Value
12779,21,8,3981.36,0,Low Value
12781,78,2,826.74,0,Low Value
12782,7,5,2330.92,0,Low Value
12783,17,6,2225.91,0,Low Value
12784,30,2,574.42,0,Low Value
12785,379,1,311.95,0,Low Value
12787,106,3,463.66,0,Low Value
12789,80,1,91.85,0,Low Value
12790,207,1,324.92,0,Low Value
12791,388,1,192.60000000000002,0,Low Value
12792,271,1,400.54,0,Low Value
12793,21,2,545.48,0,Low Value
12794,68,2,860.41,0,Low Value
12795,33,1,430.48,0,Low Value
12797,15,1,254.03,0,Low Value
12798,25,3,6977.04,0,Low Value
12802,201,1,427.58,0,Low Value
12808,18,3,483.65000000000003,0,Low Value
12809,192,1,489.31,0,Low Value
12811,275,3,514.85,0,Low Value
12812,59,1,229.64000000000001,0,Low Value
12814,116,1,125.92,0,Low Value
12815,162,2,1063.46,0,Low Value
12816,110,2,572.2,0,Low Value
12817,295,1,166.04000000000002,0,Low Value
12818,276,1,1542.08,0,Low Value
12820,18,4,942.34,0,Low Value
12821,229,1,92.72,0,Low Value
12822,85,2,948.88,0,Low Value
12823,311,5,1759.5,0,Low Value
12824,74,1,397.12,0,Low Value
12826,15,7,1474.72,0,Low Value
12827,20,3,430.15,0,Low Value
12828,22,6,1018.71,0,Low Value
12829,375,2,293.0,0,Low Value
12830,148,6,6814.64,0,Low Value
12831,277,1,215.05,0,Low Value
12832,47,2,383.03000000000003,0,Low Value
12833,160,1,417.38,0,Low Value
12834,297,1,312.38,0,Low Value
12836,74,4,2612.86,0,Low Value
12837,187,1,134.1,0,Low Value
12838,23,2,683.13,0,Low Value
12839,6,14,5591.42,2,Mid Value
12840,158,4,2726.77,0,Low Value
12841,19,25,4022.35,2,Mid Value
12842,85,2,1118.99,0,Low Value
12843,174,8,1702.26,0,Low Value
12844,44,2,325.96000000000004,0,Low Value
12845,285,4,354.09000000000003,0,Low Value
12847,37,1,871.54,0,Low Value
12849,46,2,1050.89,0,Low Value
12851,111,1,135.18,0,Low Value
12852,675,1,311.55,3,Inactive
12853,149,6,1957.1000000000001,0,Low Value
12854,93,3,1324.5,0,Low Value
12855,22,1,38.1,0,Low Value
12856,22,6,2179.93,0,Low Value
12857,225,2,1106.4,0,Low Value
12863,67,1,521.2,0,Low Value
12864,153,1,147.12,0,Low Value
12865,41,2,1568.23,0,Low Value
12866,298,1,559.12,0,Low Value
12867,9,7,4036.82,0,Low Value
12868,23,6,1607.0600000000002,0,Low Value
12871,99,2,380.64,0,Low Value
12872,15,2,599.97,0,Low Value
12873,297,1,374.0,0,Low Value
12875,158,2,343.2300000000001,0,Low Value
12876,72,2,2218.02,0,Low Value
12877,8,12,1535.77,0,Low Value
12878,251,2,854.99,0,Low Value
12879,424,3,573.22,0,Low Value
12881,290,1,298.0,0,Low Value
12882,388,2,1463.04,0,Low Value
12883,39,4,703.47,0,Low Value
12884,103,1,309.05,0,Low Value
12885,78,3,1175.22,0,Low Value
12886,82,2,1378.4,0,Low Value
12888,594,2,354.12,3,Inactive
12890,38,1,380.46999999999997,0,Low Value
12891,200,3,331.0,0,Low Value
12893,45,1,188.14,0,Low Value
12895,57,2,372.8,0,Low Value
12897,219,2,216.5,0,Low Value
12901,25,28,17654.54,2,Mid Value
12902,279,1,138.68,0,Low Value
12904,33,2,509.58,0,Low Value
12906,26,5,2919.81,0,Low Value
12908,693,2,750.0,3,Inactive
12909,54,5,2178.67,0,Low Value
12910,38,8,3075.04,0,Low Value
12912,17,5,1662.3,0,Low Value
12913,17,5,2483.63,0,Low Value
12915,22,2,363.65,0,Low Value
12916,153,4,3006.15,0,Low Value
12917,507,1,594.0,3,Inactive
12919,23,6,1335.19,0,Low Value
12920,32,1,164.23,0,Low Value
12921,16,37,16587.09,2,Mid Value
12922,176,1,405.38,0,Low Value
12923,78,1,176.97,0,Low Value
12924,103,4,933.7,0,Low Value
12925,19,2,694.05,0,Low Value
12928,9,5,2062.7,0,Low Value
12929,326,1,117.85,0,Low Value
12930,93,2,415.8,0,Low Value
12931,45,15,42055.96,2,Mid Value
12933,38,3,607.53,0,Low Value
12935,16,7,2160.7,0,Low Value
12936,31,4,1063.9,0,Low Value
12937,30,4,1504.27,0,Low Value
12938,40,1,114.14,0,Low Value
12939,79,8,11581.8,0,Low Value
12940,69,2,913.54,0,Low Value
12942,15,3,683.9,0,Low Value
12944,4,2,604.51,0,Low Value
12945,303,1,462.95,0,Low Value
12947,22,6,1603.99,0,Low Value
12948,30,7,2064.95,0,Low Value
12949,45,8,4167.22,0,Low Value
12950,17,3,1843.0,0,Low Value
12951,23,6,1064.07,0,Low Value
12952,20,4,1387.79,0,Low Value
12953,24,1,329.85,0,Low Value
12955,15,11,4757.16,0,Low Value
12956,320,1,108.07,0,Low Value
12957,24,8,4017.54,0,Low Value
12962,22,2,266.39,0,Low Value
12963,15,8,1856.63,0,Low Value
12965,104,1,771.91,0,Low Value
12966,24,1,160.18,0,Low Value
12967,7,2,1660.9,0,Low Value
12968,127,1,135.95,0,Low Value
12970,22,4,452.24,0,Low Value
12971,7,86,11189.91,2,Mid Value
12974,212,1,144.8,0,Low Value
12976,226,1,738.6,0,Low Value
12977,170,1,39.239999999999995,0,Low Value
12980,8,9,7374.900000000001,0,Low Value
12981,148,2,372.21999999999997,0,Low Value
12982,257,1,390.54,0,Low Value
12984,33,1,97.5,0,Low Value
12985,15,2,1239.38,0,Low Value
12987,88,2,558.7,0,Low Value
12988,307,1,535.32,0,Low Value
12989,23,15,6924.11,2,Mid Value
12990,46,3,409.5,0,Low Value
12991,38,2,503.76,0,Low Value
12993,38,4,414.76,0,Low Value
12994,19,3,974.42,0,Low Value
12995,100,1,211.32,0,Low Value
12997,37,4,1226.89,0,Low Value
12999,219,3,455.88,0,Low Value
13000,14,3,534.85,0,Low Value
13001,19,13,9818.82,2,Mid Value
13002,333,1,120.95,0,Low Value
13003,594,3,149.05,3,Inactive
13004,7,18,5655.91,2,Mid Value
13005,188,2,513.7,0,Low Value
13006,436,1,81.57,0,Low Value
13008,338,1,229.47,0,Low Value
13011,21,1,50.550000000000004,0,Low Value
13012,24,8,1661.8400000000001,0,Low Value
13013,16,13,4810.9400000000005,2,Mid Value
13014,25,10,3466.28,0,Low Value
13015,68,5,3346.28,0,Low Value
13016,88,3,789.89,0,Low Value
13017,1118,1,204.0,3,Inactive
13018,31,28,7277.7,2,Mid Value
13021,8,9,2616.38,0,Low Value
13023,78,2,689.9,0,Low Value
13026,15,5,975.36,0,Low Value
13027,4,6,6912.0,0,Low Value
13028,37,2,661.3199999999999,0,Low Value
13029,153,3,1247.5,0,Low Value
13030,18,2,799.48,0,Low Value
13032,67,2,1010.1800000000001,0,Low Value
13033,7,1,190.55,0,Low Value
13034,19,2,642.77,0,Low Value
13035,88,2,921.88,0,Low Value
13037,153,3,881.07,0,Low Value
13038,95,3,908.46,0,Low Value
13040,23,2,676.99,0,Low Value
13043,288,1,516.42,0,Low Value
13044,306,1,560.47,0,Low Value
13045,114,1,305.28000000000003,0,Low Value
13046,45,2,629.31,0,Low Value
13047,23,10,3237.54,0,Low Value
13048,29,4,1835.91,0,Low Value
13049,79,2,656.6800000000001,0,Low Value
13050,4,17,5836.86,2,Mid Value
13052,227,1,348.15000000000003,0,Low Value
13055,93,3,1214.41,0,Low Value
13058,166,3,271.40000000000003,0,Low Value
13059,264,1,183.4,0,Low Value
13060,268,1,307.53000000000003,0,Low Value
13061,87,1,248.61,0,Low Value
13062,206,1,346.98,0,Low Value
13064,27,4,1119.49,0,Low Value
13065,22,1,205.86,0,Low Value
13066,39,2,470.8,0,Low Value
13067,97,1,115.46000000000001,0,Low Value
13068,1121,2,344.0,3,Inactive
13069,11,24,4436.12,2,Mid Value
13070,572,1,228.8,3,Inactive
13072,281,1,177.15,0,Low Value
13075,144,1,919.61,0,Low Value
13077,15,4,729.27,0,Low Value
13078,9,26,12627.94,2,Mid Value
13079,455,5,220.10000000000002,3,Inactive
13080,559,1,58.08,3,Inactive
13081,20,11,28337.38,2,Mid Value
13082,172,9,3613.63,0,Low Value
13083,90,2,303.75,0,Low Value
13085,172,2,416.08,0,Low Value
13089,8,97,58825.83,1,High Value
13090,15,14,8910.82,2,Mid Value
13091,43,1,345.82,0,Low Value
13092,9,5,477.83,0,Low Value
13093,8,8,7832.47,0,Low Value
13094,144,12,1927.3200000000002,0,Low Value
13095,85,1,74.39999999999999,0,Low Value
13097,10,10,6010.42,0,Low Value
13098,16,28,28882.44,2,Mid Value
13099,478,1,207.36,3,Inactive
13101,249,1,101.19,0,Low Value
13102,10,24,6424.09,2,Mid Value
13103,54,1,243.94,0,Low Value
13104,4,6,1098.48,0,Low Value
13106,148,1,76.5,0,Low Value
13107,100,4,1531.6200000000001,0,Low Value
13108,22,1,350.06,0,Low Value
13109,74,2,786.54,0,Low Value
13110,46,7,1488.67,0,Low Value
13113,15,24,12245.960000000001,2,Mid Value
13115,26,4,2294.78,0,Low Value
13116,153,1,501.14,0,Low Value
13117,15,8,984.91,0,Low Value
13118,34,5,1197.81,0,Low Value
13120,618,1,30.6,3,Inactive
13121,283,1,283.73,0,Low Value
13122,255,2,922.39,0,Low Value
13124,9,3,3866.33,0,Low Value
13126,16,8,2099.64,0,Low Value
13127,92,1,259.17,0,Low Value
13130,474,1,64.0,3,Inactive
13131,38,3,1073.3,0,Low Value
13132,276,1,77.3,0,Low Value
13133,288,2,109.8,0,Low Value
13134,100,4,1793.58,0,Low Value
13135,942,1,3096.0,3,Inactive
13136,71,5,2607.61,0,Low Value
13137,25,8,3650.41,0,Low Value
13138,22,6,962.39,0,Low Value
13139,31,7,5064.9400000000005,0,Low Value
13140,16,3,423.72,0,Low Value
13141,99,5,2388.75,0,Low Value
13142,33,1,307.09000000000003,0,Low Value
13144,347,1,110.95,0,Low Value
13145,106,4,618.52,0,Low Value
13146,41,1,228.91,0,Low Value
13147,57,4,712.8,0,Low Value
